Directive,File,Line Number,Description
#endif,src/BlynkSimpleEsp32_NimBLE.h,184,Ends conditional compilation block
#include <BlynkWidgets.h>,src/BlynkSimpleEsp32_NimBLE.h,201,Includes the contents of a file (BlynkWidgets.h)
#endif,src/BlynkSimpleEsp32_NimBLE.h,203,Ends conditional compilation block
#ifndef BlynkSimpleEsp32_SSL_h,src/BlynkSimpleEsp32_SSL.h,11,Conditional compilation - evaluates compile-time expression - ndef BlynkSimpleEsp32_SSL_h
#define BlynkSimpleEsp32_SSL_h,src/BlynkSimpleEsp32_SSL.h,12,Defines a macro or constant (BlynkSimpleEsp32_SSL_h)
#ifndef ESP32,src/BlynkSimpleEsp32_SSL.h,14,Conditional compilation - evaluates compile-time expression - ndef ESP32
#error This code is intended to run on the ESP32 platform! Please check your Tools->Board setting.,src/BlynkSimpleEsp32_SSL.h,15,Generates a compilation error with a message: This code is intended to run on the ESP32 platform! Please check your Tools->Board setting.
#endif,src/BlynkSimpleEsp32_SSL.h,16,Ends conditional compilation block
#include <certs/letsencrypt_pem.h>,src/BlynkSimpleEsp32_SSL.h,19,Includes the contents of a file (certs/letsencrypt_pem.h)
#include <BlynkApiArduino.h>,src/BlynkSimpleEsp32_SSL.h,21,Includes the contents of a file (BlynkApiArduino.h)
#include <Blynk/BlynkProtocol.h>,src/BlynkSimpleEsp32_SSL.h,22,Includes the contents of a file (Blynk/BlynkProtocol.h)
#include <Adapters/BlynkArduinoClient.h>,src/BlynkSimpleEsp32_SSL.h,23,Includes the contents of a file (Adapters/BlynkArduinoClient.h)
#include <WiFi.h>,src/BlynkSimpleEsp32_SSL.h,24,Includes the contents of a file (WiFi.h)
#include <WiFiClientSecure.h>,src/BlynkSimpleEsp32_SSL.h,25,Includes the contents of a file (WiFiClientSecure.h)
#if !defined(NO_GLOBAL_INSTANCES) && !defined(NO_GLOBAL_BLYNK),src/BlynkSimpleEsp32_SSL.h,130,Conditional compilation - evaluates compile-time expression - !defined(NO_GLOBAL_INSTANCES) && !defined(NO_GLOBAL_BLYNK)
#else,src/BlynkSimpleEsp32_SSL.h,134,Else clause for conditional compilation
#endif,src/BlynkSimpleEsp32_SSL.h,136,Ends conditional compilation block
#include <BlynkWidgets.h>,src/BlynkSimpleEsp32_SSL.h,138,Includes the contents of a file (BlynkWidgets.h)
#endif,src/BlynkSimpleEsp32_SSL.h,140,Ends conditional compilation block
#ifndef BlynkSimpleEsp8266_h,src/BlynkSimpleEsp8266.h,11,Conditional compilation - evaluates compile-time expression - ndef BlynkSimpleEsp8266_h
#define BlynkSimpleEsp8266_h,src/BlynkSimpleEsp8266.h,12,Defines a macro or constant (BlynkSimpleEsp8266_h)
#ifndef ESP8266,src/BlynkSimpleEsp8266.h,14,Conditional compilation - evaluates compile-time expression - ndef ESP8266
#error This code is intended to run on the ESP8266 platform! Please check your Tools->Board setting.,src/BlynkSimpleEsp8266.h,15,Generates a compilation error with a message: This code is intended to run on the ESP8266 platform! Please check your Tools->Board setting.
#endif,src/BlynkSimpleEsp8266.h,16,Ends conditional compilation block
#include <version.h>,src/BlynkSimpleEsp8266.h,18,Includes the contents of a file (version.h)
#if ESP_SDK_VERSION_NUMBER < 0x020200,src/BlynkSimpleEsp8266.h,20,Conditional compilation - evaluates compile-time expression - ESP_SDK_VERSION_NUMBER < 0x020200
#error Please update your ESP8266 Arduino Core,src/BlynkSimpleEsp8266.h,21,Generates a compilation error with a message: Please update your ESP8266 Arduino Core
#endif,src/BlynkSimpleEsp8266.h,22,Ends conditional compilation block
#include <BlynkApiArduino.h>,src/BlynkSimpleEsp8266.h,24,Includes the contents of a file (BlynkApiArduino.h)
#include <Blynk/BlynkProtocol.h>,src/BlynkSimpleEsp8266.h,25,Includes the contents of a file (Blynk/BlynkProtocol.h)
#include <Adapters/BlynkArduinoClient.h>,src/BlynkSimpleEsp8266.h,26,Includes the contents of a file (Adapters/BlynkArduinoClient.h)
#include <ESP8266WiFi.h>,src/BlynkSimpleEsp8266.h,27,Includes the contents of a file (ESP8266WiFi.h)
#if !defined(NO_GLOBAL_INSTANCES) && !defined(NO_GLOBAL_BLYNK),src/BlynkSimpleEsp8266.h,99,Conditional compilation - evaluates compile-time expression - !defined(NO_GLOBAL_INSTANCES) && !defined(NO_GLOBAL_BLYNK)
#else,src/BlynkSimpleEsp8266.h,103,Else clause for conditional compilation
#endif,src/BlynkSimpleEsp8266.h,105,Ends conditional compilation block
#include <BlynkWidgets.h>,src/BlynkSimpleEsp8266.h,107,Includes the contents of a file (BlynkWidgets.h)
#endif,src/BlynkSimpleEsp8266.h,109,Ends conditional compilation block
#ifndef BlynkSimpleEsp8266_SSL_h,src/BlynkSimpleEsp8266_SSL.h,11,Conditional compilation - evaluates compile-time expression - ndef BlynkSimpleEsp8266_SSL_h
#define BlynkSimpleEsp8266_SSL_h,src/BlynkSimpleEsp8266_SSL.h,12,Defines a macro or constant (BlynkSimpleEsp8266_SSL_h)
#ifndef ESP8266,src/BlynkSimpleEsp8266_SSL.h,14,Conditional compilation - evaluates compile-time expression - ndef ESP8266
#error This code is intended to run on the ESP8266 platform! Please check your Tools->Board setting.,src/BlynkSimpleEsp8266_SSL.h,15,Generates a compilation error with a message: This code is intended to run on the ESP8266 platform! Please check your Tools->Board setting.
#endif,src/BlynkSimpleEsp8266_SSL.h,16,Ends conditional compilation block
#include <version.h>,src/BlynkSimpleEsp8266_SSL.h,18,Includes the contents of a file (version.h)
#if ESP_SDK_VERSION_NUMBER < 0x020200,src/BlynkSimpleEsp8266_SSL.h,20,Conditional compilation - evaluates compile-time expression - ESP_SDK_VERSION_NUMBER < 0x020200
#error Please update your ESP8266 Arduino Core,src/BlynkSimpleEsp8266_SSL.h,21,Generates a compilation error with a message: Please update your ESP8266 Arduino Core
#endif,src/BlynkSimpleEsp8266_SSL.h,22,Ends conditional compilation block
#include <certs/letsencrypt_pem.h>,src/BlynkSimpleEsp8266_SSL.h,25,Includes the contents of a file (certs/letsencrypt_pem.h)
#include <BlynkApiArduino.h>,src/BlynkSimpleEsp8266_SSL.h,27,Includes the contents of a file (BlynkApiArduino.h)
#include <Blynk/BlynkProtocol.h>,src/BlynkSimpleEsp8266_SSL.h,28,Includes the contents of a file (Blynk/BlynkProtocol.h)
#include <Adapters/BlynkArduinoClient.h>,src/BlynkSimpleEsp8266_SSL.h,29,Includes the contents of a file (Adapters/BlynkArduinoClient.h)
#include <ESP8266WiFi.h>,src/BlynkSimpleEsp8266_SSL.h,30,Includes the contents of a file (ESP8266WiFi.h)
#include <WiFiClientSecure.h>,src/BlynkSimpleEsp8266_SSL.h,31,Includes the contents of a file (WiFiClientSecure.h)
#include <time.h>,src/BlynkSimpleEsp8266_SSL.h,32,Includes the contents of a file (time.h)
#ifndef wificlientbearssl_h,src/BlynkSimpleEsp8266_SSL.h,34,Conditional compilation - evaluates compile-time expression - ndef wificlientbearssl_h
"#error BearSSL is needed, please update your ESP8266 Arduino Core",src/BlynkSimpleEsp8266_SSL.h,35,"Generates a compilation error with a message: BearSSL is needed, please update your ESP8266 Arduino Core"
#endif,src/BlynkSimpleEsp8266_SSL.h,36,Ends conditional compilation block
#ifdef USING_AXTLS,src/BlynkSimpleEsp8266_SSL.h,37,Conditional compilation - evaluates compile-time expression - def USING_AXTLS
"#error BearSSL is needed, but USING_AXTLS is defined",src/BlynkSimpleEsp8266_SSL.h,38,"Generates a compilation error with a message: BearSSL is needed, but USING_AXTLS is defined"
#endif,src/BlynkSimpleEsp8266_SSL.h,39,Ends conditional compilation block
#ifndef BLYNK_SSL_RX_BUF_SIZE,src/BlynkSimpleEsp8266_SSL.h,41,Conditional compilation - evaluates compile-time expression - ndef BLYNK_SSL_RX_BUF_SIZE
#define BLYNK_SSL_RX_BUF_SIZE 2048,src/BlynkSimpleEsp8266_SSL.h,42,Defines a macro or constant (BLYNK_SSL_RX_BUF_SIZE)
#endif,src/BlynkSimpleEsp8266_SSL.h,43,Ends conditional compilation block
#ifndef BLYNK_SSL_TX_BUF_SIZE,src/BlynkSimpleEsp8266_SSL.h,45,Conditional compilation - evaluates compile-time expression - ndef BLYNK_SSL_TX_BUF_SIZE
#define BLYNK_SSL_TX_BUF_SIZE 512,src/BlynkSimpleEsp8266_SSL.h,46,Defines a macro or constant (BLYNK_SSL_TX_BUF_SIZE)
#endif,src/BlynkSimpleEsp8266_SSL.h,47,Ends conditional compilation block
#if !defined(NO_GLOBAL_INSTANCES) && !defined(NO_GLOBAL_BLYNK),src/BlynkSimpleEsp8266_SSL.h,191,Conditional compilation - evaluates compile-time expression - !defined(NO_GLOBAL_INSTANCES) && !defined(NO_GLOBAL_BLYNK)
#else,src/BlynkSimpleEsp8266_SSL.h,195,Else clause for conditional compilation
#endif,src/BlynkSimpleEsp8266_SSL.h,197,Ends conditional compilation block
#include <BlynkWidgets.h>,src/BlynkSimpleEsp8266_SSL.h,199,Includes the contents of a file (BlynkWidgets.h)
#endif,src/BlynkSimpleEsp8266_SSL.h,201,Ends conditional compilation block
#ifndef BlynkSimpleEthernet_h,src/BlynkSimpleEthernet.h,11,Conditional compilation - evaluates compile-time expression - ndef BlynkSimpleEthernet_h
#define BlynkSimpleEthernet_h,src/BlynkSimpleEthernet.h,12,Defines a macro or constant (BlynkSimpleEthernet_h)
#ifndef BLYNK_INFO_CONNECTION,src/BlynkSimpleEthernet.h,14,Conditional compilation - evaluates compile-time expression - ndef BLYNK_INFO_CONNECTION
"#define BLYNK_INFO_CONNECTION ""W5100""",src/BlynkSimpleEthernet.h,15,Defines a macro or constant (BLYNK_INFO_CONNECTION)
#endif,src/BlynkSimpleEthernet.h,16,Ends conditional compilation block
#include <Ethernet.h>,src/BlynkSimpleEthernet.h,18,Includes the contents of a file (Ethernet.h)
#include <EthernetClient.h>,src/BlynkSimpleEthernet.h,19,Includes the contents of a file (EthernetClient.h)
#include <Adapters/BlynkEthernet.h>,src/BlynkSimpleEthernet.h,20,Includes the contents of a file (Adapters/BlynkEthernet.h)
#if !defined(NO_GLOBAL_INSTANCES) && !defined(NO_GLOBAL_BLYNK),src/BlynkSimpleEthernet.h,22,Conditional compilation - evaluates compile-time expression - !defined(NO_GLOBAL_INSTANCES) && !defined(NO_GLOBAL_BLYNK)
#else,src/BlynkSimpleEthernet.h,26,Else clause for conditional compilation
#endif,src/BlynkSimpleEthernet.h,28,Ends conditional compilation block
#include <BlynkWidgets.h>,src/BlynkSimpleEthernet.h,30,Includes the contents of a file (BlynkWidgets.h)
#endif,src/BlynkSimpleEthernet.h,32,Ends conditional compilation block
#ifndef BlynkSimpleUipEthernet_h,src/BlynkSimpleEthernetENC.h,11,Conditional compilation - evaluates compile-time expression - ndef BlynkSimpleUipEthernet_h
#define BlynkSimpleUipEthernet_h,src/BlynkSimpleEthernetENC.h,12,Defines a macro or constant (BlynkSimpleUipEthernet_h)
#ifndef BLYNK_INFO_CONNECTION,src/BlynkSimpleEthernetENC.h,14,Conditional compilation - evaluates compile-time expression - ndef BLYNK_INFO_CONNECTION
"#define BLYNK_INFO_CONNECTION ""ENC28J60""",src/BlynkSimpleEthernetENC.h,15,Defines a macro or constant (BLYNK_INFO_CONNECTION)
#endif,src/BlynkSimpleEthernetENC.h,16,Ends conditional compilation block
#include <EthernetENC.h>,src/BlynkSimpleEthernetENC.h,18,Includes the contents of a file (EthernetENC.h)
#include <Adapters/BlynkEthernet.h>,src/BlynkSimpleEthernetENC.h,19,Includes the contents of a file (Adapters/BlynkEthernet.h)
#if !defined(NO_GLOBAL_INSTANCES) && !defined(NO_GLOBAL_BLYNK),src/BlynkSimpleEthernetENC.h,21,Conditional compilation - evaluates compile-time expression - !defined(NO_GLOBAL_INSTANCES) && !defined(NO_GLOBAL_BLYNK)
#else,src/BlynkSimpleEthernetENC.h,25,Else clause for conditional compilation
#endif,src/BlynkSimpleEthernetENC.h,27,Ends conditional compilation block
#include <BlynkWidgets.h>,src/BlynkSimpleEthernetENC.h,29,Includes the contents of a file (BlynkWidgets.h)
#endif,src/BlynkSimpleEthernetENC.h,31,Ends conditional compilation block
#ifndef BlynkSimpleEthernetSSL_h,src/BlynkSimpleEthernetSSL.h,11,Conditional compilation - evaluates compile-time expression - ndef BlynkSimpleEthernetSSL_h
#define BlynkSimpleEthernetSSL_h,src/BlynkSimpleEthernetSSL.h,12,Defines a macro or constant (BlynkSimpleEthernetSSL_h)
#ifndef BLYNK_INFO_CONNECTION,src/BlynkSimpleEthernetSSL.h,14,Conditional compilation - evaluates compile-time expression - ndef BLYNK_INFO_CONNECTION
"#define BLYNK_INFO_CONNECTION ""W5000""",src/BlynkSimpleEthernetSSL.h,15,Defines a macro or constant (BLYNK_INFO_CONNECTION)
#endif,src/BlynkSimpleEthernetSSL.h,16,Ends conditional compilation block
#include <Ethernet.h>,src/BlynkSimpleEthernetSSL.h,18,Includes the contents of a file (Ethernet.h)
#include <EthernetClient.h>,src/BlynkSimpleEthernetSSL.h,19,Includes the contents of a file (EthernetClient.h)
#include <EthernetUdp.h>,src/BlynkSimpleEthernetSSL.h,20,Includes the contents of a file (EthernetUdp.h)
#include <ArduinoECCX08.h>,src/BlynkSimpleEthernetSSL.h,21,Includes the contents of a file (ArduinoECCX08.h)
#include <ArduinoBearSSL.h>,src/BlynkSimpleEthernetSSL.h,22,Includes the contents of a file (ArduinoBearSSL.h)
#define BLYNK_USE_SSL,src/BlynkSimpleEthernetSSL.h,24,Defines a macro or constant (BLYNK_USE_SSL)
#include <Adapters/BlynkEthernet.h>,src/BlynkSimpleEthernetSSL.h,26,Includes the contents of a file (Adapters/BlynkEthernet.h)
#if !defined(NO_GLOBAL_INSTANCES) && !defined(NO_GLOBAL_BLYNK),src/BlynkSimpleEthernetSSL.h,31,Conditional compilation - evaluates compile-time expression - !defined(NO_GLOBAL_INSTANCES) && !defined(NO_GLOBAL_BLYNK)
#else,src/BlynkSimpleEthernetSSL.h,34,Else clause for conditional compilation
#endif,src/BlynkSimpleEthernetSSL.h,36,Ends conditional compilation block
#include <BlynkWidgets.h>,src/BlynkSimpleEthernetSSL.h,38,Includes the contents of a file (BlynkWidgets.h)
#endif,src/BlynkSimpleEthernetSSL.h,107,Ends conditional compilation block
#ifndef BlynkSimpleFishino_h,src/BlynkSimpleFishino.h,11,Conditional compilation - evaluates compile-time expression - ndef BlynkSimpleFishino_h
#define BlynkSimpleFishino_h,src/BlynkSimpleFishino.h,12,Defines a macro or constant (BlynkSimpleFishino_h)
#ifndef BLYNK_INFO_CONNECTION,src/BlynkSimpleFishino.h,14,Conditional compilation - evaluates compile-time expression - ndef BLYNK_INFO_CONNECTION
"#define BLYNK_INFO_CONNECTION ""Fishino""",src/BlynkSimpleFishino.h,15,Defines a macro or constant (BLYNK_INFO_CONNECTION)
#endif,src/BlynkSimpleFishino.h,16,Ends conditional compilation block
#ifdef ESP8266,src/BlynkSimpleFishino.h,18,Conditional compilation - evaluates compile-time expression - def ESP8266
#error This code is not intended to run on the ESP8266 platform! Please check your Tools->Board setting.,src/BlynkSimpleFishino.h,19,Generates a compilation error with a message: This code is not intended to run on the ESP8266 platform! Please check your Tools->Board setting.
#endif,src/BlynkSimpleFishino.h,20,Ends conditional compilation block
#include <BlynkApiArduino.h>,src/BlynkSimpleFishino.h,22,Includes the contents of a file (BlynkApiArduino.h)
#include <Blynk/BlynkProtocol.h>,src/BlynkSimpleFishino.h,23,Includes the contents of a file (Blynk/BlynkProtocol.h)
#include <Adapters/BlynkArduinoClient.h>,src/BlynkSimpleFishino.h,24,Includes the contents of a file (Adapters/BlynkArduinoClient.h)
#include <Fishino.h>,src/BlynkSimpleFishino.h,25,Includes the contents of a file (Fishino.h)
#if !defined(NO_GLOBAL_INSTANCES) && !defined(NO_GLOBAL_BLYNK),src/BlynkSimpleFishino.h,109,Conditional compilation - evaluates compile-time expression - !defined(NO_GLOBAL_INSTANCES) && !defined(NO_GLOBAL_BLYNK)
#else,src/BlynkSimpleFishino.h,113,Else clause for conditional compilation
#endif,src/BlynkSimpleFishino.h,115,Ends conditional compilation block
#include <BlynkWidgets.h>,src/BlynkSimpleFishino.h,117,Includes the contents of a file (BlynkWidgets.h)
#endif,src/BlynkSimpleFishino.h,119,Ends conditional compilation block
#ifndef BlynkSimpleIntelEdisonWiFi_h,src/BlynkSimpleIntelEdisonWiFi.h,11,Conditional compilation - evaluates compile-time expression - ndef BlynkSimpleIntelEdisonWiFi_h
#define BlynkSimpleIntelEdisonWiFi_h,src/BlynkSimpleIntelEdisonWiFi.h,12,Defines a macro or constant (BlynkSimpleIntelEdisonWiFi_h)
#ifndef BLYNK_INFO_CONNECTION,src/BlynkSimpleIntelEdisonWiFi.h,14,Conditional compilation - evaluates compile-time expression - ndef BLYNK_INFO_CONNECTION
"#define BLYNK_INFO_CONNECTION  ""WiFi""",src/BlynkSimpleIntelEdisonWiFi.h,15,Defines a macro or constant (BLYNK_INFO_CONNECTION)
#endif,src/BlynkSimpleIntelEdisonWiFi.h,16,Ends conditional compilation block
#define BLYNK_MINIMIZE_PINMODE_USAGE,src/BlynkSimpleIntelEdisonWiFi.h,18,Defines a macro or constant (BLYNK_MINIMIZE_PINMODE_USAGE)
#include <BlynkSimpleWifi.h>,src/BlynkSimpleIntelEdisonWiFi.h,20,Includes the contents of a file (BlynkSimpleWifi.h)
#endif,src/BlynkSimpleIntelEdisonWiFi.h,22,Ends conditional compilation block
#ifndef BlynkSimpleLinkItONE_h,src/BlynkSimpleLinkItONE.h,11,Conditional compilation - evaluates compile-time expression - ndef BlynkSimpleLinkItONE_h
#define BlynkSimpleLinkItONE_h,src/BlynkSimpleLinkItONE.h,12,Defines a macro or constant (BlynkSimpleLinkItONE_h)
#ifndef BLYNK_INFO_DEVICE,src/BlynkSimpleLinkItONE.h,14,Conditional compilation - evaluates compile-time expression - ndef BLYNK_INFO_DEVICE
"#define BLYNK_INFO_DEVICE  ""LinkIt ONE""",src/BlynkSimpleLinkItONE.h,15,Defines a macro or constant (BLYNK_INFO_DEVICE)
#endif,src/BlynkSimpleLinkItONE.h,16,Ends conditional compilation block
#define BLYNK_NO_YIELD,src/BlynkSimpleLinkItONE.h,19,Defines a macro or constant (BLYNK_NO_YIELD)
#include <BlynkApiArduino.h>,src/BlynkSimpleLinkItONE.h,21,Includes the contents of a file (BlynkApiArduino.h)
#include <Blynk/BlynkProtocol.h>,src/BlynkSimpleLinkItONE.h,22,Includes the contents of a file (Blynk/BlynkProtocol.h)
#include <Adapters/BlynkArduinoClient.h>,src/BlynkSimpleLinkItONE.h,23,Includes the contents of a file (Adapters/BlynkArduinoClient.h)
#include <LWiFi.h>,src/BlynkSimpleLinkItONE.h,24,Includes the contents of a file (LWiFi.h)
#include <LWiFiClient.h>,src/BlynkSimpleLinkItONE.h,25,Includes the contents of a file (LWiFiClient.h)
#if !defined(NO_GLOBAL_INSTANCES) && !defined(NO_GLOBAL_BLYNK),src/BlynkSimpleLinkItONE.h,88,Conditional compilation - evaluates compile-time expression - !defined(NO_GLOBAL_INSTANCES) && !defined(NO_GLOBAL_BLYNK)
#else,src/BlynkSimpleLinkItONE.h,92,Else clause for conditional compilation
#endif,src/BlynkSimpleLinkItONE.h,94,Ends conditional compilation block
#include <BlynkWidgets.h>,src/BlynkSimpleLinkItONE.h,96,Includes the contents of a file (BlynkWidgets.h)
#endif,src/BlynkSimpleLinkItONE.h,98,Ends conditional compilation block
#ifndef BlynkSimpleMKR1000_h,src/BlynkSimpleMKR1000.h,11,Conditional compilation - evaluates compile-time expression - ndef BlynkSimpleMKR1000_h
#define BlynkSimpleMKR1000_h,src/BlynkSimpleMKR1000.h,12,Defines a macro or constant (BlynkSimpleMKR1000_h)
#ifndef BLYNK_INFO_CONNECTION,src/BlynkSimpleMKR1000.h,14,Conditional compilation - evaluates compile-time expression - ndef BLYNK_INFO_CONNECTION
"#define BLYNK_INFO_CONNECTION  ""WiFi""",src/BlynkSimpleMKR1000.h,15,Defines a macro or constant (BLYNK_INFO_CONNECTION)
#endif,src/BlynkSimpleMKR1000.h,16,Ends conditional compilation block
#include <BlynkSimpleWiFiShield101.h>,src/BlynkSimpleMKR1000.h,18,Includes the contents of a file (BlynkSimpleWiFiShield101.h)
#endif,src/BlynkSimpleMKR1000.h,20,Ends conditional compilation block
#ifndef BlynkSimpleMKRGSM_h,src/BlynkSimpleMKRGSM.h,10,Conditional compilation - evaluates compile-time expression - ndef BlynkSimpleMKRGSM_h
#define BlynkSimpleMKRGSM_h,src/BlynkSimpleMKRGSM.h,11,Defines a macro or constant (BlynkSimpleMKRGSM_h)
#ifndef BLYNK_INFO_CONNECTION,src/BlynkSimpleMKRGSM.h,13,Conditional compilation - evaluates compile-time expression - ndef BLYNK_INFO_CONNECTION
"#define BLYNK_INFO_CONNECTION  ""MKRGSM""",src/BlynkSimpleMKRGSM.h,14,Defines a macro or constant (BLYNK_INFO_CONNECTION)
#endif,src/BlynkSimpleMKRGSM.h,15,Ends conditional compilation block
#include <MKRGSM.h>,src/BlynkSimpleMKRGSM.h,17,Includes the contents of a file (MKRGSM.h)
#include <Adapters/BlynkArduinoGSM.h>,src/BlynkSimpleMKRGSM.h,18,Includes the contents of a file (Adapters/BlynkArduinoGSM.h)
#if !defined(NO_GLOBAL_INSTANCES) && !defined(NO_GLOBAL_BLYNK),src/BlynkSimpleMKRGSM.h,20,Conditional compilation - evaluates compile-time expression - !defined(NO_GLOBAL_INSTANCES) && !defined(NO_GLOBAL_BLYNK)
#else,src/BlynkSimpleMKRGSM.h,23,Else clause for conditional compilation
#endif,src/BlynkSimpleMKRGSM.h,25,Ends conditional compilation block
#include <BlynkWidgets.h>,src/BlynkSimpleMKRGSM.h,27,Includes the contents of a file (BlynkWidgets.h)
#endif,src/BlynkSimpleMKRGSM.h,29,Ends conditional compilation block
#ifndef BlynkSimpleMKRNB_h,src/BlynkSimpleMKRNB.h,10,Conditional compilation - evaluates compile-time expression - ndef BlynkSimpleMKRNB_h
#define BlynkSimpleMKRNB_h,src/BlynkSimpleMKRNB.h,11,Defines a macro or constant (BlynkSimpleMKRNB_h)
#ifndef BLYNK_INFO_CONNECTION,src/BlynkSimpleMKRNB.h,13,Conditional compilation - evaluates compile-time expression - ndef BLYNK_INFO_CONNECTION
"#define BLYNK_INFO_CONNECTION  ""MKRNB""",src/BlynkSimpleMKRNB.h,14,Defines a macro or constant (BLYNK_INFO_CONNECTION)
#endif,src/BlynkSimpleMKRNB.h,15,Ends conditional compilation block
#include <MKRNB.h>,src/BlynkSimpleMKRNB.h,17,Includes the contents of a file (MKRNB.h)
#include <Adapters/BlynkArduinoNB.h>,src/BlynkSimpleMKRNB.h,18,Includes the contents of a file (Adapters/BlynkArduinoNB.h)
#if !defined(NO_GLOBAL_INSTANCES) && !defined(NO_GLOBAL_BLYNK),src/BlynkSimpleMKRNB.h,20,Conditional compilation - evaluates compile-time expression - !defined(NO_GLOBAL_INSTANCES) && !defined(NO_GLOBAL_BLYNK)
#else,src/BlynkSimpleMKRNB.h,23,Else clause for conditional compilation
#endif,src/BlynkSimpleMKRNB.h,25,Ends conditional compilation block
#include <BlynkWidgets.h>,src/BlynkSimpleMKRNB.h,27,Includes the contents of a file (BlynkWidgets.h)
#endif,src/BlynkSimpleMKRNB.h,29,Ends conditional compilation block
#ifndef BlynkSimpleParticle_h,src/BlynkSimpleParticle.h,11,Conditional compilation - evaluates compile-time expression - ndef BlynkSimpleParticle_h
#define BlynkSimpleParticle_h,src/BlynkSimpleParticle.h,12,Defines a macro or constant (BlynkSimpleParticle_h)
#include <Adapters/BlynkParticle.h>,src/BlynkSimpleParticle.h,14,Includes the contents of a file (Adapters/BlynkParticle.h)
#if !defined(NO_GLOBAL_INSTANCES) && !defined(NO_GLOBAL_BLYNK),src/BlynkSimpleParticle.h,16,Conditional compilation - evaluates compile-time expression - !defined(NO_GLOBAL_INSTANCES) && !defined(NO_GLOBAL_BLYNK)
#else,src/BlynkSimpleParticle.h,19,Else clause for conditional compilation
#endif,src/BlynkSimpleParticle.h,21,Ends conditional compilation block
"#include ""BlynkWidgets.h""",src/BlynkSimpleParticle.h,23,Includes the contents of a file (BlynkWidgets.h)
#endif,src/BlynkSimpleParticle.h,25,Ends conditional compilation block
#ifndef BlynkSimpleParticle_h,src/BlynkSimpleParticleSSL.h,11,Conditional compilation - evaluates compile-time expression - ndef BlynkSimpleParticle_h
#define BlynkSimpleParticle_h,src/BlynkSimpleParticleSSL.h,12,Defines a macro or constant (BlynkSimpleParticle_h)
#include <Adapters/BlynkParticleBearSSL.h>,src/BlynkSimpleParticleSSL.h,14,Includes the contents of a file (Adapters/BlynkParticleBearSSL.h)
#if !defined(NO_GLOBAL_INSTANCES) && !defined(NO_GLOBAL_BLYNK),src/BlynkSimpleParticleSSL.h,16,Conditional compilation - evaluates compile-time expression - !defined(NO_GLOBAL_INSTANCES) && !defined(NO_GLOBAL_BLYNK)
#else,src/BlynkSimpleParticleSSL.h,19,Else clause for conditional compilation
#endif,src/BlynkSimpleParticleSSL.h,21,Ends conditional compilation block
#include <BlynkWidgets.h>,src/BlynkSimpleParticleSSL.h,23,Includes the contents of a file (BlynkWidgets.h)
#endif,src/BlynkSimpleParticleSSL.h,25,Ends conditional compilation block
#ifndef BlynkSimpleRFduinoBLE_h,src/BlynkSimpleRFduinoBLE.h,11,Conditional compilation - evaluates compile-time expression - ndef BlynkSimpleRFduinoBLE_h
#define BlynkSimpleRFduinoBLE_h,src/BlynkSimpleRFduinoBLE.h,12,Defines a macro or constant (BlynkSimpleRFduinoBLE_h)
#ifndef BLYNK_INFO_CONNECTION,src/BlynkSimpleRFduinoBLE.h,14,Conditional compilation - evaluates compile-time expression - ndef BLYNK_INFO_CONNECTION
"#define BLYNK_INFO_CONNECTION ""RFduinoBLE""",src/BlynkSimpleRFduinoBLE.h,15,Defines a macro or constant (BLYNK_INFO_CONNECTION)
#endif,src/BlynkSimpleRFduinoBLE.h,16,Ends conditional compilation block
#define BLYNK_SEND_ATOMIC,src/BlynkSimpleRFduinoBLE.h,18,Defines a macro or constant (BLYNK_SEND_ATOMIC)
#define BLYNK_SEND_CHUNK 20,src/BlynkSimpleRFduinoBLE.h,19,Defines a macro or constant (BLYNK_SEND_CHUNK)
#include <BlynkApiArduino.h>,src/BlynkSimpleRFduinoBLE.h,22,Includes the contents of a file (BlynkApiArduino.h)
#include <Blynk/BlynkProtocol.h>,src/BlynkSimpleRFduinoBLE.h,23,Includes the contents of a file (Blynk/BlynkProtocol.h)
#include <utility/BlynkFifo.h>,src/BlynkSimpleRFduinoBLE.h,24,Includes the contents of a file (utility/BlynkFifo.h)
#include <RFduinoBLE.h>,src/BlynkSimpleRFduinoBLE.h,25,Includes the contents of a file (RFduinoBLE.h)
#if !defined(NO_GLOBAL_INSTANCES) && !defined(NO_GLOBAL_BLYNK),src/BlynkSimpleRFduinoBLE.h,120,Conditional compilation - evaluates compile-time expression - !defined(NO_GLOBAL_INSTANCES) && !defined(NO_GLOBAL_BLYNK)
#else,src/BlynkSimpleRFduinoBLE.h,123,Else clause for conditional compilation
#endif,src/BlynkSimpleRFduinoBLE.h,125,Ends conditional compilation block
#include <BlynkWidgets.h>,src/BlynkSimpleRFduinoBLE.h,145,Includes the contents of a file (BlynkWidgets.h)
#endif,src/BlynkSimpleRFduinoBLE.h,147,Ends conditional compilation block
#ifndef BlynkSimpleRedBearLab_BLE_Nano_h,src/BlynkSimpleRedBearLab_BLE_Nano.h,11,Conditional compilation - evaluates compile-time expression - ndef BlynkSimpleRedBearLab_BLE_Nano_h
#define BlynkSimpleRedBearLab_BLE_Nano_h,src/BlynkSimpleRedBearLab_BLE_Nano.h,12,Defines a macro or constant (BlynkSimpleRedBearLab_BLE_Nano_h)
